분류,항목,항목,단위,2024년
서울,119 구급차,계,대,161
서울,119 구급차,특수,대,161
서울,119 구급차,일반,대,0
서울,119 구급차,인구 십만 명당 119 구급차 수,대,1.7
서울,탑승인력,계,명,"1,521"
서울,탑승인력,1급 응급구조사,명,537
서울,탑승인력,2급 응급구조사,명,319
서울,탑승인력,간호사,명,331
서울,탑승인력,기타,명,334
부산,119 구급차,계,대,76
부산,119 구급차,특수,대,76
부산,119 구급차,일반,대,0
부산,119 구급차,인구 십만 명당 119 구급차 수,대,2.3
부산,탑승인력,계,명,682
부산,탑승인력,1급 응급구조사,명,96
부산,탑승인력,2급 응급구조사,명,136
부산,탑승인력,간호사,명,343
부산,탑승인력,기타,명,107
대구,119 구급차,계,대,63
대구,119 구급차,특수,대,63
대구,119 구급차,일반,대,0
대구,119 구급차,인구 십만 명당 119 구급차 수,대,2.7
대구,탑승인력,계,명,572
대구,탑승인력,1급 응급구조사,명,149
대구,탑승인력,2급 응급구조사,명,153
대구,탑승인력,간호사,명,228
대구,탑승인력,기타,명,42
인천,119 구급차,계,대,79
인천,119 구급차,특수,대,79
인천,119 구급차,일반,대,0
인천,119 구급차,인구 십만 명당 119 구급차 수,대,2.6
인천,탑승인력,계,명,657
인천,탑승인력,1급 응급구조사,명,367
인천,탑승인력,2급 응급구조사,명,88
인천,탑승인력,간호사,명,119
인천,탑승인력,기타,명,83
광주,119 구급차,계,대,33
광주,119 구급차,특수,대,33
광주,119 구급차,일반,대,0
광주,119 구급차,인구 십만 명당 119 구급차 수,대,2.3
광주,탑승인력,계,명,297
광주,탑승인력,1급 응급구조사,명,189
광주,탑승인력,2급 응급구조사,명,9
광주,탑승인력,간호사,명,96
광주,탑승인력,기타,명,3
대전,119 구급차,계,대,34
대전,119 구급차,특수,대,34
대전,119 구급차,일반,대,0
대전,119 구급차,인구 십만 명당 119 구급차 수,대,2.4
대전,탑승인력,계,명,269
대전,탑승인력,1급 응급구조사,명,152
대전,탑승인력,2급 응급구조사,명,46
대전,탑승인력,간호사,명,70
대전,탑승인력,기타,명,1
울산,119 구급차,계,대,32
울산,119 구급차,특수,대,32
울산,119 구급차,일반,대,0
울산,119 구급차,인구 십만 명당 119 구급차 수,대,2.9
울산,탑승인력,계,명,276
울산,탑승인력,1급 응급구조사,명,84
울산,탑승인력,2급 응급구조사,명,6
울산,탑승인력,간호사,명,181
울산,탑승인력,기타,명,5
세종,119 구급차,계,대,12
세종,119 구급차,특수,대,12
세종,119 구급차,일반,대,0
세종,119 구급차,인구 십만 명당 119 구급차 수,대,3.1
세종,탑승인력,계,명,107
세종,탑승인력,1급 응급구조사,명,66
세종,탑승인력,2급 응급구조사,명,1
세종,탑승인력,간호사,명,40
세종,탑승인력,기타,명,0
경기,119 구급차,계,대,283
경기,119 구급차,특수,대,283
경기,119 구급차,일반,대,0
경기,119 구급차,인구 십만 명당 119 구급차 수,대,2.1
경기,탑승인력,계,명,"2,283"
경기,탑승인력,1급 응급구조사,명,"1,243"
경기,탑승인력,2급 응급구조사,명,117
경기,탑승인력,간호사,명,849
경기,탑승인력,기타,명,74
강원,119 구급차,계,대,128
강원,119 구급차,특수,대,128
강원,119 구급차,일반,대,0
강원,119 구급차,인구 십만 명당 119 구급차 수,대,8.4
강원,탑승인력,계,명,"1,044"
강원,탑승인력,1급 응급구조사,명,267
강원,탑승인력,2급 응급구조사,명,351
강원,탑승인력,간호사,명,169
강원,탑승인력,기타,명,257
충북,119 구급차,계,대,72
충북,119 구급차,특수,대,72
충북,119 구급차,일반,대,0
충북,119 구급차,인구 십만 명당 119 구급차 수,대,4.5
충북,탑승인력,계,명,648
충북,탑승인력,1급 응급구조사,명,326
충북,탑승인력,2급 응급구조사,명,33
충북,탑승인력,간호사,명,83
충북,탑승인력,기타,명,206
충남,119 구급차,계,대,113
충남,119 구급차,특수,대,113
충남,119 구급차,일반,대,0
충남,119 구급차,인구 십만 명당 119 구급차 수,대,5.3
충남,탑승인력,계,명,"1,017"
충남,탑승인력,1급 응급구조사,명,520
충남,탑승인력,2급 응급구조사,명,120
충남,탑승인력,간호사,명,180
충남,탑승인력,기타,명,197
전북,119 구급차,계,대,109
전북,119 구급차,특수,대,109
전북,119 구급차,일반,대,0
전북,119 구급차,인구 십만 명당 119 구급차 수,대,6.3
전북,탑승인력,계,명,981
전북,탑승인력,1급 응급구조사,명,201
전북,탑승인력,2급 응급구조사,명,363
전북,탑승인력,간호사,명,314
전북,탑승인력,기타,명,103
전남,119 구급차,계,대,139
전남,119 구급차,특수,대,139
전남,119 구급차,일반,대,0
전남,119 구급차,인구 십만 명당 119 구급차 수,대,7.8
전남,탑승인력,계,명,"1,093"
전남,탑승인력,1급 응급구조사,명,331
전남,탑승인력,2급 응급구조사,명,120
전남,탑승인력,간호사,명,382
전남,탑승인력,기타,명,260
경북,119 구급차,계,대,147
경북,119 구급차,특수,대,147
경북,119 구급차,일반,대,0
경북,119 구급차,인구 십만 명당 119 구급차 수,대,5.8
경북,탑승인력,계,명,"1,272"
경북,탑승인력,1급 응급구조사,명,263
경북,탑승인력,2급 응급구조사,명,319
경북,탑승인력,간호사,명,548
경북,탑승인력,기타,명,142
경남,119 구급차,계,대,147
경남,119 구급차,특수,대,147
경남,119 구급차,일반,대,0
경남,119 구급차,인구 십만 명당 119 구급차 수,대,4.6
경남,탑승인력,계,명,"1,243"
경남,탑승인력,1급 응급구조사,명,416
경남,탑승인력,2급 응급구조사,명,71
경남,탑승인력,간호사,명,397
경남,탑승인력,기타,명,359
제주,119 구급차,계,대,32
제주,119 구급차,특수,대,32
제주,119 구급차,일반,대,0
제주,119 구급차,인구 십만 명당 119 구급차 수,대,4.8
제주,탑승인력,계,명,274
제주,탑승인력,1급 응급구조사,명,140
제주,탑승인력,2급 응급구조사,명,1
제주,탑승인력,간호사,명,97
제주,탑승인력,기타,명,36
