분류,항목,단위,2024년
서울,응급의료기관 수,개,49
서울,전체,개,"1,086"
서울,권역응급의료센터,개,225
서울,지역응급의료센터,개,667
서울,지역응급의료기관,개,194
부산,응급의료기관 수,개,29
부산,전체,개,449
부산,권역응급의료센터,개,41
부산,지역응급의료센터,개,171
부산,지역응급의료기관,개,237
대구,응급의료기관 수,개,19
대구,전체,개,342
대구,권역응급의료센터,개,52
대구,지역응급의료센터,개,127
대구,지역응급의료기관,개,163
인천,응급의료기관 수,개,21
인천,전체,개,401
인천,권역응급의료센터,개,75
인천,지역응급의료센터,개,207
인천,지역응급의료기관,개,119
광주,응급의료기관 수,개,21
광주,전체,개,342
광주,권역응급의료센터,개,69
광주,지역응급의료센터,개,96
광주,지역응급의료기관,개,177
대전,응급의료기관 수,개,9
대전,전체,개,183
대전,권역응급의료센터,개,64
대전,지역응급의료센터,개,90
대전,지역응급의료기관,개,29
울산,응급의료기관 수,개,7
울산,전체,개,145
울산,권역응급의료센터,개,35
울산,지역응급의료센터,개,89
울산,지역응급의료기관,개,21
세종,응급의료기관 수,개,2
세종,전체,개,19
세종,권역응급의료센터,개,0
세종,지역응급의료센터,개,8
세종,지역응급의료기관,개,11
경기,응급의료기관 수,개,73
경기,전체,개,"1,545"
경기,권역응급의료센터,개,340
경기,지역응급의료센터,개,790
경기,지역응급의료기관,개,415
강원,응급의료기관 수,개,22
강원,전체,개,316
강원,권역응급의료센터,개,98
강원,지역응급의료센터,개,86
강원,지역응급의료기관,개,132
충북,응급의료기관 수,개,15
충북,전체,개,284
충북,권역응급의료센터,개,43
충북,지역응급의료센터,개,158
충북,지역응급의료기관,개,83
충남,응급의료기관 수,개,18
충남,전체,개,292
충남,권역응급의료센터,개,65
충남,지역응급의료센터,개,140
충남,지역응급의료기관,개,87
전북,응급의료기관 수,개,19
전북,전체,개,357
전북,권역응급의료센터,개,82
전북,지역응급의료센터,개,197
전북,지역응급의료기관,개,78
전남,응급의료기관 수,개,38
전남,전체,개,404
전남,권역응급의료센터,개,52
전남,지역응급의료센터,개,64
전남,지역응급의료기관,개,288
경북,응급의료기관 수,개,30
경북,전체,개,412
경북,권역응급의료센터,개,97
경북,지역응급의료센터,개,125
경북,지역응급의료기관,개,190
경남,응급의료기관 수,개,34
경남,전체,개,493
경남,권역응급의료센터,개,107
경남,지역응급의료센터,개,153
경남,지역응급의료기관,개,233
제주,응급의료기관 수,개,6
제주,전체,개,124
제주,권역응급의료센터,개,23
제주,지역응급의료센터,개,91
제주,지역응급의료기관,개,10
