분류,항목,단위,2024년
서울,권역응급의료센터,개소,7
부산,권역응급의료센터,개소,2
대구,권역응급의료센터,개소,2
인천,권역응급의료센터,개소,2
광주,권역응급의료센터,개소,2
대전,권역응급의료센터,개소,2
울산,권역응급의료센터,개소,1
세종,권역응급의료센터,개소,0
경기,권역응급의료센터,개소,9
강원,권역응급의료센터,개소,3
충북,권역응급의료센터,개소,1
충남,권역응급의료센터,개소,2
전북,권역응급의료센터,개소,2
전남,권역응급의료센터,개소,2
경북,권역응급의료센터,개소,3
경남,권역응급의료센터,개소,3
제주,권역응급의료센터,개소,1
서울,지역응급의료센터,개소,24
부산,지역응급의료센터,개소,7
대구,지역응급의료센터,개소,4
인천,지역응급의료센터,개소,9
광주,지역응급의료센터,개소,4
대전,지역응급의료센터,개소,4
울산,지역응급의료센터,개소,4
세종,지역응급의료센터,개소,1
경기,지역응급의료센터,개소,34
강원,지역응급의료센터,개소,4
충북,지역응급의료센터,개소,7
충남,지역응급의료센터,개소,7
전북,지역응급의료센터,개소,8
전남,지역응급의료센터,개소,3
경북,지역응급의료센터,개소,6
경남,지역응급의료센터,개소,7
제주,지역응급의료센터,개소,4
서울,지역응급의료기관,개소,18
부산,지역응급의료기관,개소,20
대구,지역응급의료기관,개소,13
인천,지역응급의료기관,개소,10
광주,지역응급의료기관,개소,15
대전,지역응급의료기관,개소,3
울산,지역응급의료기관,개소,2
세종,지역응급의료기관,개소,1
경기,지역응급의료기관,개소,31
강원,지역응급의료기관,개소,15
충북,지역응급의료기관,개소,8
충남,지역응급의료기관,개소,9
전북,지역응급의료기관,개소,9
전남,지역응급의료기관,개소,33
경북,지역응급의료기관,개소,21
경남,지역응급의료기관,개소,24
제주,지역응급의료기관,개소,1
